location,stateCode,directorMin,directorMax,directorTrend,seniorManagerMin,seniorManagerMax,seniorManagerTrend,managerMin,managerMax,managerTrend,seniorEstimatorMin,seniorEstimatorMax,seniorEstimatorTrend,estimatorMin,estimatorMax,estimatorTrend,juniorMin,juniorMax,juniorTrend,ptoDays,bonusPercent,flexPercent,esopPercent
"Chicago, IL",IL,175900,220000,up,165920,182590,stable,132950,162350,stable,118300,136950,up,96150,122300,up,80850,94500,up,"10-22","11-22%","20%","25%"
"Rockford, IL",IL,160680,179200,up,144790,158400,up,121000,149750,up,100980,125900,up,85490,105000,up,71070,84960,up,"10-15","10-15%","15%","10%"
"Springfield, IL",IL,151950,169050,up,135400,152500,up,104300,150800,up,92450,114750,up,82850,102900,up,70500,83500,up,"10-15","10-15%","18%","10%"
"Helena, MT",MT,167000,192450,up,138000,171050,up,125605,138952,up,122050,145850,up,93500,122600,up,68400,89800,up,"10-20","10-15%","25%","10%"
"Missoula, MT",MT,139300,173900,up,125950,152070,up,118350,129400,up,102305,129500,up,77505,103800,up,63350,75950,up,"10-20","10-15%","20%","10%"
"Las Vegas, NV",NV,159600,210500,up,151205,192000,stable,128065,161083,up,120504,148900,up,88075,118503,up,74504,92070,up,"10-20","15-25%","30%","20%"
"Seattle, WA",WA,185245,230108,stable,160250,190000,stable,135500,161500,up,135000,158000,up,110220,125050,up,88900,108200,up,"10-26","20-30%","10%","20%"
"Phoenix, AZ",AZ,172440,201534,up,153276,185621,up,136753,169351,up,117164,174244,up,83434,115826,up,75517,83320,up,"10-18","10-19%","31%","16%"
"Tucson, AZ",AZ,152538,185756,up,146226,171978,up,119630,163912,up,116457,158567,up,75352,110133,up,72752,80868,up,"10-16","9-18%","27%","11%"
"Miami-Fort Lauderdale, FL",FL,185483,210522,up,157257,179826,up,134654,168356,up,126753,164842,up,88979,116125,up,79451,89106,up,"10-23","9-22%","31%","19%"
"Fort Myers, FL",FL,173485,189651,up,144893,168241,up,126323,149442,up,118212,151458,up,85759,115832,up,72698,84964,stable,"10-18","9-18%","25%","14%"
"Jacksonville, FL",FL,166763,190113,up,147652,165959,up,123581,154744,up,114355,141659,up,84821,114108,up,74387,85653,stable,"10-18","10-18%","28%","12%"
